538,40,9,89,101,0,0,0,0,0,0,,0,,0,0,,,0,$0.00,3/6/2025 0:00:00,"0",0,0,,0,1,,"?",47,16,"000000","000000","000000",0,0,0,0,0,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"000000",0,0,,"Accepted",0,0,,,0
539,40,9,65,101,0,0,0,0,0,0,,0,,0,0,,,0,$0.00,3/6/2025 0:00:00,"0",0,0,,0,1,,"?",47,13,"000000","000000","000000",0,0,0,0,0,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"000000",0,0,,"Accepted",0,0,,,0
540,40,9,72,101,0,0,0,0,0,0,,0,,0,0,,,0,$0.00,3/6/2025 0:00:00,"0",0,0,,0,1,,"?",47,13,"000000","000000","000000",0,0,0,0,0,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"000000",0,0,,"Accepted",0,0,,,0
541,40,9,77,101,0,0,0,0,0,0,,0,,0,0,,,0,$0.00,3/6/2025 0:00:00,"0",0,0,,0,1,,"?",47,16,"000000","000000","000000",0,0,0,0,0,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"000000",0,0,,"Accepted",0,0,,,0
543,41,9,72,102,0,0,0,0,0,0,,0,,0,0,,,0,$26.00,3/18/2025 0:00:00,"0",0,0,,0,1,,"?",47,13,"000000","000000","000000",0,0,0,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"000000",0,0,,"Accepted",0,0,,,0
590,51,9,72,101,0,0,0,0,0,1,"Incorrect Call",0,,0,0,,"00:00.00",0,$0.00,3/31/2025 0:00:00,"NQ",9996,16,,0,1,,"?",19,13,"000000","000000","000000",0,0,0,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Sec't Contract","000000",0,0,,"Accepted",0,0,,,0
591,51,9,65,101,0,0,0,0,0,1,"Incorrect Call",0,,0,0,,"00:00.00",0,$0.00,3/31/2025 0:00:00,"NQ",9996,14,,0,1,,"?",19,13,"000000","000000","000000",0,0,0,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Sec't Contract","000000",0,0,,"Accepted",0,0,,,0
592,51,9,77,101,0,0,0,0,0,1,"Incorrect Call",0,,0,0,,"00:00.00",0,$0.00,3/31/2025 0:00:00,"NQ",9996,14,,0,1,,"?",19,16,"000000","000000","000000",0,0,0,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Sec't Contract","000000",0,0,,"Accepted",0,0,,,0
593,51,9,89,101,0,1,0,0,0,0,"",0,,0,0,,"00:19.12",19120,$0.00,3/31/2025 0:00:00,"3",3,11,,0,1,,"?",19,16,"001912","000000","000000",0,0,1,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Sec't Contract","000000",0,0,,"Accepted",0,0,,,0
595,53,9,67,102,0,0,0,0,0,1,"Incorrect Call",0,,0,0,,"00:00.00",0,$26.00,4/2/2025 0:00:00,"NQ",9996,12,"PP",0,1,,"?",61,13,"000000","000000","000000",0,0,0,0,0,$26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"PP","000000",0,0,,"Accepted",0,0,,,0
